,maturity_1,maturity_2,maturity_3,maturity_4,maturity_5,maturity_6
.EURGBP02 U Index,0.05365739859562988,0.05583014364997507,0.07158682031610805,0.05863433987624012,0.07941353984795085,0.0428469679428963
.EURGBP10 U Index,0.02467063025066454,0.020002549954600303,0.0171976907415495,0.024874569908745647,0.042305505144996765,0.01485793040007411
EU 10Y-03M,0.014025145856115463,0.026242414283181154,0.014038467069717928,0.02152638596923498,0.010106234615332653,0.015572968730916424
US 10Y-03M,0.011062149355116162,0.01167311977125064,0.006821889580940629,0.010572094244091812,0.007477538603139085,0.008660417901934126
.EUR0210Y U Index,0.008964360741353174,0.011744166821197118,0.006677748795795196,0.015776329373122584,0.018943557692584972,0.017535972617754546
.EUR1030Y U Index,0.005568050066149832,0.00813375631268112,0.01098549651637173,0.011922704039103262,0.006060143845823025,0.00530051450517567
CS,0.03139811031117764,0.01713849583509121,0.012803025777034387,0.02894199635171632,0.03721257098812687,0.03176394981103537
HCS,0.025393793986666423,0.04383222859184995,0.044364169356398635,0.04968568953124729,0.04253114129311917,0.05557725501308111
INF,0.011726232950716318,0.020164856594482746,0.011928689262160333,0.013282314212459217,0.012077391974414545,0.013688046209388023
NFP,0.004238824964545529,0.0027784436101327783,0.0070665986953557264,0.002983898896755894,0.0036049890265369413,0.0035468462407522256
GLD,0.041053524970397125,0.013244946465950608,0.03826541467888455,0.04231929338319848,0.03689986117472896,0.030942085111006844
OIL,0.02216687508238192,0.010470577150860359,0.02835392657391738,0.00444336111828549,0.010541440259266286,0.006374556121025913
VIX,0.0131052581253892,0.044497751902696704,0.013514319240249886,0.01273381061606718,0.03929353795412802,0.04674269260731914
UMCSENT,0.023126968104221914,0.02406235142565371,0.015233866249002553,0.02467864542811488,0.028894350131056852,0.017758879023764468
GPR,0.0202834421254222,0.038562396575924744,0.023242444861803963,0.023779000015143537,0.03349063532427924,0.02723387986559343
INFCE1,0.012477896660178279,0.009182631901640433,0.016875271325418,0.016749151979995075,0.01748681260291293,0.013610526257039358
INFE1,0.027270997325734545,0.01768968400334658,0.037386284257246494,0.014193374254055017,0.026335957459911394,0.018368712434655512
BEAR,0.01862194213623964,0.013473127486499531,0.035368548387031865,0.021693407606415957,0.01897416170710009,0.02045226041769153
BULL,0.01746227153570726,0.013101209155125314,0.022551878131043243,0.026054940018930214,0.03208845573050591,0.021413104975798583
UNC,0.008031998676153914,0.013725116672619454,0.012429254435643088,0.012469243081060993,0.014610890079707435,0.013451933879330833
CU_release,0.00496765564858894,0.0026302524964623144,0.00218617010682101,0.004887427982206646,0.002472928585911177,0.005861799357000261
INF_release,0.004907063494389149,0.003867087185368291,0.00700234589251492,0.004294865382823142,0.0041401878145758625,0.006386314506430912
NFP_release,0.0008948289303419491,0.002029856775560764,0.001771359124336262,0.0008926535775559992,0.002217486172499548,0.0012071088733331026
PMI_release,0.006908916849844142,0.0058528294259607115,0.0025040654619042473,0.004943616237883058,0.006011865477161639,0.005931810730199989
UN_release,0.0035816600665530126,0.00397305874094612,0.006098778217119009,0.003092624809283734,0.004304869302262887,0.0045348291458036935
Y_df_change_dir_1_US_3m,0.01798102999200637,0.02041831582154312,0.009930148396960551,0.012150761481600058,0.01078217393072009,0.014438575396498588
Y_df_change_1_US_3m,0.006810494244675889,0.0048308131678699625,0.007632447894648066,0.005395826394938012,0.006377173725525305,0.0067361340463685335
Y_df_change_dir_1_US_6m,0.017683190164182936,0.018324657508240007,0.009683803501176348,0.007069647477808758,0.01865396792832568,0.013668196639314071
Y_df_change_1_US_6m,0.008115181410794321,0.004719383061712355,0.004089370860222819,0.007865124665461432,0.0046860040002851145,0.0048655755422401
Y_df_change_dir_1_US_1y,0.015546258950431366,0.016881532298478608,0.016204538492796322,0.020147680914051308,0.015197804740888991,0.030014062316724453
Y_df_change_1_US_1y,0.01670256374702573,0.011368709996094063,0.007010505290203127,0.012563747335398754,0.010480229431016293,0.006390189479079709
Y_df_change_dir_1_US_3y,0.015601089920771,0.012809510334338482,0.011546218518749811,0.02649728319980204,0.00997269062440561,0.014220197815506253
Y_df_change_1_US_3y,0.00923169031771795,0.011605399231831143,0.012621399824419769,0.010352640800319932,0.009366758553478122,0.007147368884592046
Y_df_change_dir_1_US_5y,0.021535296031775942,0.014136584674944365,0.006217715814522914,0.014148438955350381,0.02443446519927238,0.01440870744959102
Y_df_change_dir_1_US_10y,0.016640386075422307,0.011194415671144573,0.012769613371424687,0.010568864121928832,0.015673699114985843,0.010321475262220096
Y_df_change_dir_21_US_3m,0.017568067227642436,0.02845533710485324,0.032207596215923937,0.011378043380495001,0.023283336763365237,0.010648575219744088
Y_df_change_21_US_3m,0.014396626934985156,0.006290467223645464,0.017904990749216268,0.011633237122315527,0.006272675940004168,0.004758937091121576
Y_df_change_dir_21_US_6m,0.016297884377667896,0.008723284539290277,0.016605687809196145,0.01766363921429729,0.01635548345516266,0.023271427522655964
Y_df_change_21_US_6m,0.011699581476526343,0.014855042999028227,0.011232781298414315,0.01287935900416657,0.011396728527022788,0.018588486605925332
Y_df_change_dir_21_US_1y,0.045442405778453876,0.02462803693851068,0.011095941535415476,0.024651419900474137,0.027247930092659467,0.01811460695017983
Y_df_change_21_US_1y,0.020719524880007764,0.015677414324306783,0.02932260597390996,0.019694582165897978,0.010249713028192674,0.017447946999748335
Y_df_change_dir_21_US_3y,0.02256241515527169,0.013743702100085405,0.0203877522200346,0.027840714577265318,0.02632225753811266,0.01529532854895418
Y_df_change_21_US_3y,0.010845721925334034,0.013972234831621485,0.018549410588903508,0.015378321303209532,0.022023734817882844,0.012992751502847871
Y_df_change_dir_21_US_5y,0.015215295787396221,0.01226268239451262,0.0163161331544743,0.014341607936128032,0.01677632741710113,0.019771129972975057
Y_df_change_dir_21_US_10y,0.008643724577405615,0.01790482104277665,0.02073192291545949,0.012693330953998763,0.015094511040331176,0.008691106834444023
Y_df_change_dir_63_US_3m,0.0286155395078434,0.02410713086768131,0.024522190732959036,0.020429231294217365,0.02018244001409039,0.03277586801474293
Y_df_change_63_US_3m,0.012553597128783926,0.003975980301802034,0.008805118099271264,0.006463426877571768,0.004486474340079743,0.012055315073832392
Y_df_change_dir_63_US_6m,0.01956783947533889,0.008400096301183414,0.011282211321386666,0.030123949779411,0.029455971100678043,0.03726884176028201
Y_df_change_63_US_6m,0.008715503823911603,0.00987106773808288,0.018053838460478193,0.007668268219098005,0.008759965255720696,0.007201135008192675
Y_df_change_dir_63_US_1y,0.02564383351134286,0.014824008190873428,0.026123078520207857,0.03543944677446659,0.034772835324731806,0.013909486938045952
Y_df_change_63_US_1y,0.010015631070408138,0.009964084317453551,0.014048932120498648,0.009880736589320198,0.022547345719026793,0.009971681660979812
Y_df_change_dir_63_US_3y,0.015542116428094839,0.020573384765297912,0.021001666108208156,0.009949745031488419,0.025284245092024017,0.014731069930365872
Y_df_change_63_US_3y,0.015837922119331778,0.011108753848670555,0.011952557811062435,0.024452760451684298,0.01620703422338981,0.015677264387951556
Y_df_change_dir_63_US_5y,0.016790599504306253,0.02561828289397575,0.01957472280500224,0.019556691094419876,0.015064730573591078,0.015396673093996168
Y_df_change_dir_63_US_10y,0.014282296318803369,0.016524499731482744,0.01807151831389759,0.020165104969133003,0.029069458118077214,0.01410167467194454
Y_df_change_dir_252_US_3m,0.026442967871254948,0.049177266416940264,0.029217588207374016,0.05310598149647316,0.02272714333170249,0.024204241436673327
Y_df_change_252_US_3m,0.002901901491499605,0.004357299419095701,0.004598299529008121,0.0015422942706891263,0.002649405348139529,0.0036541924280269686
Y_df_change_dir_252_US_6m,0.04510016256570816,0.028610423112045584,0.029292291681733335,0.03454214299681674,0.04062404334948709,0.0260945500281523
Y_df_change_dir_252_US_1y,0.01289916524089252,0.030124946411893082,0.04427598583279178,0.028595917945727706,0.02102136917846898,0.024095351360971108
Y_df_change_dir_252_US_3y,0.018588160647894255,0.010402216988399837,0.014876796700264094,0.02866070564836264,0.020165229480364363,0.024886073016242335
Y_df_change_252_US_3y,0.009775257770700516,0.005300359995383285,0.008685341570446628,0.011635065874208218,0.011612127461222373,0.006228532304816374
Y_df_change_dir_252_US_5y,0.015554332995753765,0.011064404929522424,0.011739647117411855,0.02968197828031225,0.025325641617147385,0.024601318653469206
Y_df_change_252_US_5y,0.012410826332535483,0.017598180007286524,0.008843085850131804,0.009105798615933358,0.015637850656618563,0.01095100460089634
Y_df_change_dir_252_US_10y,0.012331892585613484,0.01978326972568175,0.022791562462768828,0.028546922590835792,0.04012631623227693,0.038135776069621596
