,maturity_1,maturity_2,maturity_3,maturity_4,maturity_5,maturity_6
.EURGBP02 U Index,0.0006244505622515081,0.0004988765050274634,0.000375304969588945,0.0003414053120641737,0.00027954641676329264,0.0002323828626716967
.EURGBP10 U Index,6.24555086741837e-05,9.970700367628673e-05,0.00011526294084003858,9.682442974086595e-05,7.501847386631455e-05,8.719578052898305e-05
EU 10Y-03M,0.00016292652176965838,0.00018386070140061813,0.00013508506311730838,0.00013473374644704344,9.951647114847485e-05,6.504366371593323e-05
US 10Y-03M,9.454211757359725e-05,0.00010096072472214514,8.2426011541911e-05,7.123216129552274e-05,4.993479772095231e-05,6.945386440107124e-05
.EUR0210Y U Index,0.00020226709360282125,0.00019168373412278516,0.0001290966528957812,7.50749211699591e-05,7.791878264495447e-05,0.00013324141937658568
.EUR1030Y U Index,0.00020514053664396866,0.00016356223237919818,0.00011963805735062223,0.00014687952709744082,8.21345193004289e-05,0.00012280759140808606
CS,0.0002607127857476748,0.00024492174976155514,0.00020296234464993278,9.877408356451242e-05,8.529424398926654e-05,9.136166763343737e-05
HCS,0.00015832692824740903,0.0001276889560849832,0.00014930792493324073,7.137357293384889e-05,7.738297529997705e-05,8.324003520522683e-05
INF,0.00019288355055228812,0.0001613422423335691,0.00012301807627718636,0.00011229435980698807,6.312126665130856e-05,6.446483373966789e-05
NFP,2.468130040956453e-05,2.0059344702391392e-05,1.699248580839776e-05,1.8494664147803616e-05,2.0440505615438397e-05,1.3075084853157838e-05
GLD,0.00030239160525379657,0.00037216265048964863,0.00013690355391827256,0.0001372298440634038,0.00017481097280208527,0.0001373310120497588
OIL,0.0001780755421787416,0.00018702377472229925,0.00011866152269466917,6.160047139782326e-05,7.423292719765388e-05,8.679187408929662e-05
VIX,0.00013709175433071957,0.00019586959411619162,0.0001555099093832782,6.155131740234302e-05,0.00011005755358545613,0.0001104064491901971
UMCSENT,0.00011915406548154672,0.00021494307374489663,0.00016548349886672477,9.385284691488795e-05,6.566550639036808e-05,5.7681169755838434e-05
GPR,9.727049843610998e-05,0.00010023348821602288,0.00010521904908281971,6.474842689243013e-05,6.437070817183825e-05,4.857302646079707e-05
INFCE1,7.915542126460675e-05,0.00012544341794297768,0.00012086895738304648,0.00013181721597177175,6.896561171973064e-05,6.145658091925796e-05
INFE1,0.000223443331186141,0.00022600358698828042,0.0001849622263806031,0.00010293168183443831,7.069823341734599e-05,0.00012104585772105974
BEAR,0.00013087392127998415,0.00020233857976960782,0.00017749826843835634,0.00019421149674234622,0.00013253697560096326,0.00012838956388775988
BULL,0.0001419471724098117,0.00017966424515760017,0.00019675339107593157,0.00016810535860698226,0.00011165775248212929,0.00018991702945358937
UNC,0.00015316684320389336,0.00020883663408729,0.00012827514005857104,7.568289790953341e-05,9.499296767905759e-05,8.020799670832246e-05
CU_release,3.0637798200350846e-05,2.8264250379389682e-05,3.4719835374657053e-05,2.4036893361203032e-05,2.1031595189036605e-05,2.5837648125466948e-05
INF_release,5.826025675380042e-05,5.801735408441704e-05,3.716047206887583e-05,2.9731895241082008e-05,3.0984564445075166e-05,2.008296108643173e-05
NFP_release,6.66136843912345e-06,1.008087180167094e-05,9.92281512955204e-06,7.0795134169132744e-06,3.3195331156585674e-06,4.377101762786814e-06
PMI_release,2.504347196630405e-05,2.5733867309469427e-05,3.2193189216760324e-05,2.1967297430384905e-05,2.7180337999921248e-05,3.0294590768665604e-05
UN_release,4.596163589486208e-05,4.293513124350201e-05,3.599230292772814e-05,2.663627368849236e-05,2.958782872558848e-05,2.3303329763593484e-05
Y_df_change_dir_1_US_3m,0.00017309381710417794,0.00022092655476372335,0.00021360608124196918,0.00011654595364575627,9.232158546715013e-05,0.0001249815306251273
Y_df_change_1_US_3m,3.7401627827348896e-05,4.192730455231988e-05,2.9711983188926616e-05,1.9465759827200298e-05,1.635042218407776e-05,2.6471775764450424e-05
Y_df_change_dir_1_US_6m,0.00015920465225444322,0.00014088723883138367,0.000109936214162152,5.206726121905146e-05,7.034050736341599e-05,6.046357131673529e-05
Y_df_change_1_US_6m,3.3867764643106834e-05,5.590772732005791e-05,2.9656187194456684e-05,4.3330108672397165e-05,2.8538213485480118e-05,2.340487600697907e-05
Y_df_change_dir_1_US_1y,0.0001618542492950527,0.00017791222066215753,0.00011760902546588264,0.00010993006637225773,7.444378698307015e-05,0.00012530862461759796
Y_df_change_1_US_1y,9.406755383901403e-05,9.608916940276395e-05,4.44364739429619e-05,4.0735129902464e-05,3.257852739804402e-05,4.238787035584431e-05
Y_df_change_dir_1_US_3y,0.00020692142308992415,0.00024903906063475985,0.00018349982581269218,0.00011938458220001688,9.12642814952921e-05,6.775368876960519e-05
